cycleCount,maxClientsInQueue,maxClientWaitTime,meanClientWaitTime,totalClientsServed,totalWaitTime,totalUsageTime,averageServiceTimePerClient,max-clien,min-client,max-server,min-server,initial number of simulated clients,number of simulated servers,distribution for all services time,distribution for i-nth services time,distribution for client arrival time,duration
637,1,0,0.0,83,0,1163.0,14.012048192771084,10,4,16,13,1,9,poisson,poisson,normal,10
634,6,21,0.5606060606060606,132,74,797.9257370644237,5.484285886851695,6,3,12,5,8,3,exponential,uniform,normal,10
632,1,0,0.0,70,0,926.0,13.228571428571428,10,8,18,8,4,9,poisson,exponential,uniform,10
624,527,1,0.0505050505050505,99,5,1166.0,11.727272727272728,1,1,19,5,2,2,uniform,normal,exponential,10
594,114,22,0.921161825726141,482,444,2674.7165027363885,4.628042536797486,2,2,11,6,2,5,exponential,poisson,exponential,10
641,9,310,6.05993690851735,317,1921,4186.0,7.145110410094637,2,1,8,6,6,4,poisson,normal,normal,10
641,276,2,0.5918367346938775,49,29,629.0,12.244897959183673,1,1,16,9,2,1,uniform,normal,poisson,10
610,1,0,0.0,156,0,1091.0,6.993589743589744,4,3,8,7,4,10,normal,normal,uniform,10
628,2,2,0.0262008733624454,229,6,2664.0454170125013,11.607185227128827,3,2,15,4,8,8,exponential,exponential,exponential,10
607,1,0,0.0,66,0,554.0,8.393939393939394,9,2,13,4,4,7,normal,normal,exponential,10
615,6,39,0.7971698113207547,212,169,2593.0,11.433962264150944,4,1,14,10,8,5,normal,poisson,uniform,10
635,89,5,1.1984126984126984,126,151,665.0,4.079365079365079,3,2,6,2,3,1,poisson,exponential,uniform,10
638,261,1,0.5223880597014925,67,35,611.0,8.597014925373134,1,1,15,3,9,1,poisson,poisson,normal,10
612,5,13,0.1553784860557769,251,39,1412.0,5.47011952191235,3,1,7,5,7,4,uniform,uniform,uniform,10
503,2,1,0.005813953488372,172,1,793.0,4.604651162790698,2,2,6,3,8,8,poisson,normal,poisson,10
632,1,0,0.0,139,0,1636.0,11.76978417266187,6,1,17,7,5,7,poisson,exponential,poisson,10
630,231,2,0.5172413793103449,87,45,592.0,6.287356321839081,2,1,11,1,4,1,poisson,exponential,normal,10
620,1,0,0.0,72,0,293.0,4.069444444444445,10,7,6,3,4,6,normal,uniform,uniform,10
639,6,21,0.6137071651090342,642,394,5194.0,7.4766355140186915,6,6,11,4,4,9,poisson,uniform,exponential,10
632,3,9,0.1444444444444444,180,26,589.1183908973043,3.128435504985024,3,1,10,7,4,3,exponential,poisson,exponential,10
628,2,3,0.050314465408805,318,16,3209.0,10.040880503144654,2,1,15,5,2,7,poisson,normal,normal,10
568,1,0,0.0,106,0,203.9304844732338,1.9238724950305075,9,1,12,10,4,9,exponential,exponential,normal,10
564,7,24,0.8429752066115702,121,102,493.0,3.231404958677686,5,4,5,2,9,2,poisson,exponential,uniform,10
563,1,0,0.0,169,0,760.0,4.497041420118343,3,1,8,2,7,10,normal,exponential,exponential,10
533,7,89,4.432624113475177,141,625,2502.0,13.312056737588652,4,2,20,8,5,4,normal,exponential,exponential,10
542,25,87,6.186046511627907,129,798,2864.0,16.015503875968992,9,7,20,13,7,4,uniform,poisson,exponential,10
536,1,0,0.0,110,0,771.7134193864639,7.015576539876944,7,2,9,3,3,8,exponential,normal,uniform,10
608,343,3,0.2379182156133829,269,64,2243.0,8.100371747211897,1,1,11,6,3,4,uniform,normal,exponential,10
549,59,86,4.311688311688312,231,996,5089.106955953699,17.719077731401295,1,1,19,2,3,8,exponential,normal,poisson,10
